"anno","acqua immessa nel sistema idrico","acqua erogata","consumi civili","consumi altri usi","abitanti serviti","stima perdite"
"2004",13508000,11000000,9800000,1200000,114000,
"2005",13006199,10100000,8800000,1300000,114000,
"2006",13059000,10317000,9260000,1057000,114000,
"2007",12661387,10382000,9173000,1209000,114000,27
"2008",13203302,9648532,7116425,2532107,115112,19
"2009",13438806,10432465,7419837,3012628,116098,22
"2010",12708901,9904460,6554448,3350012,119883,21
"2011",12302876,9672811,6425043,3247768,120300,18
"2012",11741636,9640113,6354560,3285553,,16
"2013",11327931,9563981,9544466,19515,,19
"2014",10998822,8895333,6430732,2464601,100228,21
"2015",11441208,8993266,6384458,2608808,110935,25
"2016",11616218,8640155,6066808,2573347,109780,25
"2017",11700217,8709691,6135396,2574295,109275,25
"2018",10791119,8072587,6124324,1948263,108093,22
"2019",10935271,8467459,6270302,2197157,102995,27
